4.000000 2974804469.000000 1275.484863 1617.401855 55.343533 -0.072309 0.533224 74.851624 
4.000000 2974815642.000000 1275.507080 1617.419922 55.332340 -0.096363 0.507550 74.861420 
4.000000 2974826815.000000 1275.485718 1617.406372 55.335461 -0.080210 0.530003 74.853851 
4.000000 2974837988.000000 1275.494141 1617.435181 55.326347 -0.093752 0.514557 74.847992 
4.000000 2974849162.000000 1275.494141 1617.400146 55.320908 -0.094748 0.546721 74.857155 
4.000000 2974854748.000000 1275.493530 1617.420044 55.335587 -0.081730 0.522934 74.850975 
4.000000 2974865921.000000 1275.506958 1617.395142 55.337708 -0.097565 0.549097 74.847969 
4.000000 2974877094.000000 1275.493896 1617.392090 55.337975 -0.082037 0.544553 74.849380 
4.000000 2974888268.000000 1275.513794 1617.402466 55.325024 -0.094087 0.514355 74.861450 
4.000000 2974893854.000000 1275.506836 1617.393555 55.341118 -0.096531 0.534410 74.857422 
4.000000 2974905027.000000 1275.498291 1617.415894 55.330791 -0.093612 0.525173 74.851906 
4.000000 2974916201.000000 1275.497314 1617.435913 55.350632 -0.073515 0.519725 74.839333 
4.000000 2974927374.000000 1275.490601 1617.426758 55.349739 -0.082659 0.524081 74.853889 
4.000000 2974938547.000000 1275.506226 1617.417969 55.338783 -0.087949 0.525963 74.846619 
4.000000 2974944134.000000 1275.496460 1617.421143 55.340858 -0.086580 0.527292 74.854233 
4.000000 2974955307.000000 1275.487915 1617.411377 55.335884 -0.086032 0.513008 74.852539 
4.000000 2974966480.000000 1275.500366 1617.391479 55.324284 -0.103682 0.542602 74.854149 
4.000000 2974977653.000000 1275.489136 1617.390625 55.343784 -0.078430 0.545323 74.851227 
4.000000 2974988826.000000 1275.499512 1617.392334 55.335911 -0.090748 0.543587 74.849174 
4.000000 2974994413.000000 1275.492920 1617.424072 55.341984 -0.083888 0.522103 74.852310 
4.000000 2975005586.000000 1275.491333 1617.411743 55.335320 -0.081464 0.525898 74.853226 
4.000000 2975016759.000000 1275.487305 1617.421387 55.346035 -0.069874 0.525578 74.846092 
4.000000 2975022346.000000 1275.485840 1617.409668 55.338345 -0.077074 0.529469 74.852234 
4.000000 2975033519.000000 1275.486694 1617.391968 55.329391 -0.085221 0.537983 74.856094 
4.000000 2975044692.000000 1275.506714 1617.389648 55.321632 -0.104845 0.542838 74.855057 
4.000000 2975055865.000000 1275.481201 1617.407593 55.339443 -0.071575 0.530096 74.852051 
4.000000 2975067039.000000 1275.492065 1617.425293 55.349705 -0.082713 0.518301 74.855865 
4.000000 2975078212.000000 1275.479980 1617.428589 55.354115 -0.074668 0.524962 74.839676 
4.000000 2975083798.000000 1275.496460 1617.441406 55.350403 -0.076331 0.496428 74.862068 
4.000000 2975094972.000000 1275.494141 1617.412964 55.332241 -0.084453 0.537678 74.838440 
4.000000 2975106145.000000 1275.498413 1617.431763 55.329079 -0.090110 0.488210 74.869270 
4.000000 2975117318.000000 1275.496338 1617.421631 55.334709 -0.081461 0.533122 74.844063 
4.000000 2975128491.000000 1275.494751 1617.445068 55.336372 -0.076293 0.506488 74.858841 
4.000000 2975134078.000000 1275.501221 1617.414429 55.330833 -0.086286 0.520542 74.855019 
4.000000 2975145251.000000 1275.487183 1617.413330 55.339184 -0.076370 0.540367 74.846848 
4.000000 2975156424.000000 1275.489746 1617.425415 55.340088 -0.081512 0.519491 74.846596 
4.000000 2975167597.000000 1275.497192 1617.417480 55.331635 -0.087547 0.511865 74.866882 
4.000000 2975173184.000000 1275.477173 1617.405396 55.317692 -0.077947 0.527997 74.851959 
4.000000 2975184357.000000 1275.502197 1617.423706 55.319756 -0.096896 0.495006 74.858521 
4.000000 2975195530.000000 1275.492432 1617.407104 55.345436 -0.077350 0.534666 74.854439 
4.000000 2975206703.000000 1275.499634 1617.419189 55.323933 -0.093062 0.523438 74.852753 
4.000000 2975217877.000000 1275.485718 1617.433350 55.341724 -0.073177 0.520755 74.841934 
4.000000 2975229050.000000 1275.503296 1617.401001 55.326492 -0.098050 0.532184 74.848297 
4.000000 2975229050.000000 1275.503296 1617.401001 55.326492 -0.098050 0.532184 74.848297 
4.000000 2975245810.000000 1275.496216 1617.418823 55.342922 -0.079613 0.520281 74.856812 
4.000000 2975256983.000000 1275.494141 1617.410767 55.339291 -0.081331 0.515511 74.856422 
4.000000 2975268156.000000 1275.501099 1617.404663 55.328182 -0.095537 0.533203 74.850914 
4.000000 2975273743.000000 1275.481079 1617.412598 55.348129 -0.070236 0.533967 74.847244 
4.000000 2975284916.000000 1275.482178 1617.413696 55.338066 -0.076488 0.528488 74.846176 
4.000000 2975296089.000000 1275.487915 1617.428101 55.349850 -0.072262 0.526822 74.840912 
4.000000 2975307262.000000 1275.484131 1617.386108 55.325588 -0.092326 0.558001 74.847969 
4.000000 2975318435.000000 1275.496704 1617.397095 55.317684 -0.090822 0.526669 74.866112 
4.000000 2975324022.000000 1275.479370 1617.409058 55.335579 -0.078862 0.530615 74.849686 
4.000000 2975335195.000000 1275.503052 1617.394287 55.330254 -0.107522 0.553562 74.846504 
4.000000 2975346368.000000 1275.493774 1617.391479 55.338272 -0.095301 0.541401 74.854607 
4.000000 2975357541.000000 1275.497070 1617.409302 55.328991 -0.099472 0.530487 74.854233 
4.000000 2975368715.000000 1275.500122 1617.401367 55.330906 -0.098269 0.536461 74.858459 
4.000000 2975374301.000000 1275.492920 1617.438843 55.344696 -0.069039 0.507756 74.852982 
4.000000 2975385474.000000 1275.493896 1617.426758 55.335384 -0.083913 0.524130 74.848022 
